"Date","Price","Open","High","Low","Vol.","Change %"
"12/28/2009","1,106.85","1,106.95","1,114.00","1,101.75","","0.21%"
"12/25/2009","1,104.50","1,104.00","1,104.50","1,104.00","","-0.09%"
"12/24/2009","1,105.45","1,087.90","1,106.65","1,087.25","","1.68%"
"12/23/2009","1,087.20","1,084.10","1,096.05","1,079.60","","0.32%"
"12/22/2009","1,083.75","1,093.25","1,097.60","1,074.60","","-0.76%"
"12/21/2009","1,092.10","1,111.45","1,119.10","1,090.25","","-1.83%"
"12/18/2009","1,112.50","1,098.00","1,117.00","1,096.05","","1.30%"
"12/17/2009","1,098.25","1,138.30","1,141.90","1,094.90","","-3.49%"
"12/16/2009","1,137.95","1,124.85","1,141.10","1,121.40","","1.20%"
"12/15/2009","1,124.50","1,126.75","1,129.30","1,111.70","","0.00%"
"12/14/2009","1,124.55","1,113.80","1,127.90","1,110.25","","0.87%"
"12/11/2009","1,114.90","1,130.60","1,142.30","1,109.50","","-1.51%"
"12/10/2009","1,132.05","1,129.10","1,137.00","1,121.70","","0.30%"
"12/09/2009","1,128.70","1,129.75","1,146.80","1,117.20","","-0.12%"
"12/08/2009","1,130.05","1,157.25","1,168.90","1,125.55","","-2.44%"
"12/07/2009","1,158.30","1,160.45","1,164.95","1,136.20","","-0.29%"
"12/04/2009","1,161.70","1,207.70","1,212.60","1,147.75","","-4.07%"
"12/03/2009","1,211.00","1,216.15","1,226.50","1,204.30","","-0.33%"
"12/02/2009","1,214.95","1,196.25","1,217.15","1,195.00","","1.44%"
"12/01/2009","1,197.70","1,179.65","1,201.80","1,175.45","","1.60%"
"11/30/2009","1,178.85","1,176.60","1,182.00","1,163.40","","0.10%"
"11/27/2009","1,177.70","1,191.90","1,192.20","1,137.80","","-1.29%"
"11/26/2009","1,193.10","1,190.85","1,195.40","1,180.40","","0.26%"
"11/25/2009","1,190.05","1,169.25","1,192.00","1,167.05","","1.74%"
"11/24/2009","1,169.70","1,165.85","1,171.50","1,157.75","","0.38%"
"11/23/2009","1,165.25","1,151.20","1,173.90","1,150.85","","1.33%"
"11/20/2009","1,149.95","1,143.95","1,151.30","1,132.80","","0.51%"
"11/19/2009","1,144.10","1,145.15","1,146.15","1,129.90","","-0.05%"
"11/18/2009","1,144.65","1,141.45","1,153.15","1,135.90","","0.32%"
"11/17/2009","1,141.05","1,139.60","1,141.95","1,127.95","","0.06%"
"11/16/2009","1,140.35","1,118.30","1,143.65","1,118.30","","1.89%"
"11/13/2009","1,119.20","1,103.75","1,119.35","1,101.20","","1.40%"
"11/12/2009","1,103.80","1,117.70","1,123.25","1,102.70","","-1.28%"
"11/11/2009","1,118.15","1,105.65","1,118.75","1,105.15","","1.14%"
"11/10/2009","1,105.60","1,104.30","1,109.70","1,097.10","","0.14%"
"11/09/2009","1,104.05","1,097.41","1,111.25","1,095.80","","0.82%"
"11/06/2009","1,095.05","1,089.85","1,101.30","1,086.70","","0.38%"
"11/05/2009","1,090.95","1,092.85","1,094.35","1,083.90","","-0.15%"
"11/04/2009","1,092.60","1,084.85","1,097.65","1,079.90","","0.77%"
"11/03/2009","1,084.25","1,059.85","1,087.85","1,055.40","","2.36%"
"11/02/2009","1,059.25","1,044.30","1,063.10","1,040.65","","1.37%"
"10/30/2009","1,044.90","1,045.80","1,049.15","1,035.35","","-0.06%"
"10/29/2009","1,045.55","1,028.25","1,048.50","1,026.75","","1.72%"
"10/28/2009","1,027.85","1,039.50","1,042.60","1,027.35","","-1.15%"
"10/27/2009","1,039.80","1,037.90","1,044.50","1,033.25","","0.16%"
"10/26/2009","1,038.10","1,054.30","1,060.10","1,037.95","","-1.60%"
"10/23/2009","1,054.95","1,059.90","1,067.80","1,050.55","","-0.51%"
"10/22/2009","1,060.40","1,057.90","1,061.75","1,051.80","","0.10%"
"10/21/2009","1,059.35","1,054.90","1,065.10","1,047.80","","0.41%"
"10/20/2009","1,055.00","1,064.50","1,068.10","1,052.00","","-0.82%"
"10/19/2009","1,063.70","1,052.65","1,065.50","1,048.50","","0.99%"
"10/16/2009","1,053.25","1,050.55","1,057.70","1,043.90","","0.23%"
"10/15/2009","1,050.85","1,062.80","1,066.50","1,047.20","","-1.14%"
"10/14/2009","1,062.95","1,064.90","1,071.40","1,056.50","","-0.13%"
"10/13/2009","1,064.35","1,054.40","1,069.30","1,051.90","","0.77%"
"10/12/2009","1,056.25","1,049.00","1,059.75","1,047.90","","0.67%"
"10/09/2009","1,049.25","1,056.00","1,056.00","1,044.30","","-0.55%"
"10/08/2009","1,055.00","1,044.85","1,062.20","1,043.50","","0.99%"
"10/07/2009","1,044.70","1,041.35","1,049.20","1,037.30","","0.27%"
"10/06/2009","1,041.85","1,017.00","1,044.45","1,015.74","","2.37%"
"10/05/2009","1,017.75","1,001.80","1,018.45","1,001.55","","1.54%"
"10/02/2009","1,002.35","998.60","1,008.20","987.20","","0.29%"
"10/01/2009","999.50","1,007.20","1,010.40","998.40","","-0.81%"
"09/30/2009","1,007.70","992.20","1,009.95","992.20","","1.56%"
"09/29/2009","992.20","991.35","996.70","985.90","","0.13%"
"09/28/2009","990.95","993.00","997.50","986.60","","-0.08%"
